t,ld,rd,la,ra
-0.028,0.000,0.000,0.000,0.000
0.061,0.000,0.000,0.000,0.000
0.152,0.000,0.000,0.000,0.000
0.242,0.000,0.000,0.000,0.000
0.332,0.000,0.000,0.000,0.000
0.422,0.000,0.000,0.000,0.000
0.512,0.000,0.000,0.000,0.000
0.602,0.000,0.000,0.000,0.000
0.692,0.200,0.000,0.000,0.000
0.782,0.201,0.000,0.000,0.000
0.872,0.201,0.000,0.000,0.000
0.963,0.201,0.000,0.000,0.000
1.052,0.000,0.000,0.000,0.000
1.142,0.000,0.691,0.000,0.000
1.231,0.000,0.512,0.000,0.000
1.322,0.000,0.490,0.000,0.000
1.412,0.000,0.486,0.000,0.000
1.501,0.000,0.484,0.000,0.000
1.591,0.000,0.484,0.000,0.000
1.682,0.000,0.469,0.000,0.000
1.772,0.000,0.431,0.000,0.000
1.861,0.000,0.431,0.000,0.000
1.952,0.000,0.773,0.000,0.000
2.042,0.000,0.902,0.000,0.000
2.132,0.000,0.917,0.000,0.000
2.223,0.000,0.960,0.000,0.000
2.312,0.000,0.961,0.000,0.000
2.402,0.000,0.961,0.000,0.000
2.492,0.000,0.961,0.000,0.000
2.583,0.000,0.965,0.000,0.000
2.671,0.000,0.968,0.000,0.000
2.762,0.000,0.968,0.000,0.000
2.852,0.000,0.970,0.000,0.000
2.942,0.000,0.970,0.000,0.000
3.031,0.000,0.970,0.000,0.000
3.122,0.000,0.970,0.000,0.000
3.211,0.000,0.972,0.000,0.000
3.302,0.000,0.972,0.000,0.000
3.392,0.000,0.974,0.000,0.000
3.482,0.000,0.974,0.000,0.000
3.572,0.000,0.974,0.000,0.000
3.661,0.000,0.974,0.000,0.000
3.752,0.000,0.974,0.000,0.000
3.843,0.000,0.000,0.000,0.000
3.932,0.000,0.000,0.000,0.000
4.022,0.000,0.000,0.000,0.000
4.111,0.000,0.000,0.000,0.000
4.202,0.000,0.000,0.000,0.000
4.344,0.000,0.000,0.000,0.000
